concept,city,state_province,country,start_of_day_offset
CAFE,Santa Ysabel,CA,US,00:00:00
FAMILY_DINING,Fremont,NE,US,00:00:00
CAFE,Rocky View,AB,CA,00:00:00
BREWERY,Muscatine,IA,US,00:00:00
,TORONTO,ON,CA,00:00:00
FAST_CASUAL,Lafayette Township,NJ,US,07:00:00
BAKERY,Santa Ana,CA,US,07:00:00
FAMILY_DINING,Bow Island,AB,CA,00:00:00
,Sault Ste Marie,ON,CA,00:00:00
,Somerville ,MA,US,00:00:00
FAST_CASUAL,Canton,OH,US,00:00:00
FAMILY_DINING,Portsmouth,NH,US,00:00:00
FAMILY_DINING,Southgate,ON,CA,00:00:00
FAST_CASUAL,Grand Rapids,MI,US,00:00:00
BAKERY,Whitchurch-Stoufville,ON,CA,00:00:00
BAR,Rome,GA,US,08:00:00
FAMILY_DINING,Calgary,AB,CA,07:00:00
CAFE,Old Orchard Beach,ME,US,00:00:00
FAST_FOOD,Halifax,NS,CA,00:00:00
FAST_CASUAL,Berryville,VA,US,00:00:00
CAFE,Toronto,ON,CA,07:00:00
,West Bend,WI,US,00:00:00
,Toronto,ON,CA,00:00:00
FAMILY_DINING,Baker City,OR,US,00:00:00
BAKERY,Syracuse,NY,US,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
,Clearwater ,BC,CA,00:00:00
BAR,Weyauwega ,WI,US,10:00:00
FAST_CASUAL,Killeen,TX,US,00:00:00
FAMILY_DINING,Toronto,ON,CA,07:00:00
FAMILY_DINING,Scarborough,ON,CA,00:00:00
BUFFET,Mississauga,ON,CA,00:00:00
,Frankenmuth,MI,US,00:00:00
FAMILY_DINING,Snyder,TX,US,00:00:00
BREWERY,Sydney,NS,CA,04:00:00
BAR,Toronto,ON,CA,00:00:00
FAMILY_DINING,Greensburg,PA,US,06:00:00
,San Jose,CA,US,00:00:00
BAR,Toronto,ON,CA,00:00:00
FAMILY_DINING,Vancouver,BC,CA,04:00:00
BAR,West Kelowna,BC,CA,00:00:00
,Red Deer,AB,CA,00:00:00
FAMILY_DINING,Calgary,AB,CA,06:00:00
FAMILY_DINING,Rye,NH,US,06:00:00
FAMILY_DINING,Calgary,AB,CA,00:00:00
CAFE,Ottawa,ON,CA,00:00:00
CAFE,Okotoks,AB,CA,00:00:00
FAST_CASUAL,Chicago,IL,US,00:00:00
FAMILY_DINING,Fredericton,NB,CA,00:00:00
BREWERY,Ridgeway,ON,CA,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
BAR,Slaton,TX,US,03:00:00
FAMILY_DINING,Kingston,ON,CA,08:00:00
,Palatine,IL,US,00:00:00
FAST_CASUAL,Ossining,NY,US,00:00:00
FAMILY_DINING,Shelburne,NS,CA,00:00:00
FAST_CASUAL,Venice,FL,US,00:00:00
CAFE,Othello,WA,US,00:00:00
,Plummer,ID,US,00:00:00
CAFE,Charlotte,NC,US,00:00:00
BAR,Holyrood,NL,CA,00:00:00
,Fairplay,CO,US,00:00:00
BAR,St. Catharines,ON,CA,06:00:00
FAST_CASUAL,Houston,TX,US,04:00:00
,Bonavista,NL,CA,00:00:00
FAMILY_DINING,Vancouver,BC,CA,04:00:00
,Listowel,ON,CA,00:00:00
,Honolulu,HI,US,02:00:00
FAST_CASUAL,Gainesville,FL,US,00:00:00
HOTEL,Summerfield,NC,US,00:00:00
,Murphy,NC,US,07:00:00
FAMILY_DINING,Hugo,MN,US,00:00:00
CAFE,Toronto,ON,CA,06:00:00
FAST_CASUAL,Canmore,AB,CA,00:00:00
,Rockford,IL,US,00:00:00
HOTEL,Morris,IL,US,00:00:00
,Toronto,ON,CA,00:00:00
FAMILY_DINING,Seattle,WA,US,00:00:00
,Marion,OH,US,04:00:00
CAFE,Brampton,ON,CA,00:00:00
FINE_DINING,Prince George,BC,CA,00:00:00
,Blue River,BC,CA,00:00:00
FAMILY_DINING,Eads,CO,US,00:00:00
BAR,Redondo Beach,CA,US,10:00:00
BAR,Prattville,AL,US,00:00:00
FAST_CASUAL,Waterloo,ON,CA,00:00:00
FAMILY_DINING,Roseville,CA,US,00:00:00
BAR,Toronto,ON,CA,05:00:00
FAMILY_DINING,Chicago,IL,US,01:00:00
BAR,Grand Forks,ND,US,03:00:00
FAMILY_DINING,Victoria,BC,CA,00:00:00
FAST_CASUAL,Dartmouth,NS,CA,00:00:00
FAMILY_DINING,Houston,TX,US,03:00:00
FAMILY_DINING,Milwaukee,WI,US,00:00:00
CAFE,Portland,ME,US,00:00:00
FAMILY_DINING,Dennis Port,MA,US,00:00:00
BAR,Woodbury,MN,US,00:00:00
,Coram,NY,US,00:00:00
FAMILY_DINING,Westport,CT,US,00:00:00
FAMILY_DINING,Springville,UT,US,00:00:00
,.,(Unknown),CA,12:00:00
,Waterloo,ON,CA,00:00:00
ENTERTAINMENT_COMPLEX,Toronto,ON,CA,05:00:00
CAFE,Prince Rupert,BC,CA,00:00:00
FAMILY_DINING,Niagara Falls,ON,CA,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
FAST_CASUAL,Calgary,AB,CA,00:00:00
FAMILY_DINING,Aliquippa,PA,US,00:00:00
HOTEL,Jackpot,NV,US,04:00:00
,Mariposa,CA,US,00:00:00
,Highland,IN,US,00:00:00
BAR,Calgary,AB,CA,05:00:00
CAFE,Clovis,NM,US,00:00:00
BAR,Lantz,NS,CA,00:00:00
FAMILY_DINING,Norfolk,ON,CA,00:00:00
,Albany,NY,US,00:00:00
FAMILY_DINING,Toronto,ON,CA,04:00:00
FINE_DINING,Oakville,ON,CA,06:00:00
FAMILY_DINING,Kitchener,ON,CA,00:00:00
,Leamington,ON,CA,00:00:00
FAST_FOOD,Troy,MI,US,00:00:00
,1,(Unknown),US,00:00:00
FAMILY_DINING,Gilroy,CA,US,00:00:00
,Davenport,IA,US,00:00:00
FAMILY_DINING,Toronto,ON,CA,00:00:00
,Lewisporte,NL,CA,00:00:00
FAMILY_DINING,Toronto,ON,CA,00:00:00
FAMILY_DINING,Kansas City,KS,US,00:00:00
FINE_DINING,Victoria,BC,CA,09:00:00
FAST_FOOD,London,ON,CA,10:00:00
BAR,Toronto,ON,CA,06:00:00
BAR,Houston,TX,US,05:00:00
FAMILY_DINING,Ashern,MB,CA,04:00:00
FAMILY_DINING,Welshpool,NB,CA,07:00:00
FAMILY_DINING,Dublin,OH,US,00:00:00
FAST_CASUAL,Los Angeles,CA,US,10:00:00
,Placerville,CA,US,00:00:00
FAMILY_DINING,St. John's,NL,CA,04:00:00
BAR,Cocoa,FL,US,03:00:00
FAST_CASUAL,York,PA,US,00:00:00
FINE_DINING,Fort Walton Beach,FL,US,04:00:00
FAMILY_DINING,Cortez,CO,US,05:00:00
,Calgary,AB,CA,06:00:00
,Emo,ON,CA,00:00:00
BREWERY,Ozark,MO,US,00:00:00
,Canal Fulton,OH,US,00:00:00
,Carmi,IL,US,00:00:00
FAST_CASUAL,Katy,TX,US,00:00:00
CAFE,Kelowna,BC,CA,07:00:00
FAMILY_DINING,HOUSTON,TX,US,00:00:00
FOOD_TRUCK,fountain,CO,US,00:00:00
FAMILY_DINING,Glendale,AZ,US,00:00:00
BAKERY,Vancouver,BC,CA,00:00:00
FINE_DINING,Stone Harbor,NJ,US,10:00:00
FINE_DINING,Cherry Valley,ON,CA,09:00:00
,Lewes,DE,US,00:00:00
,Saskatoon,SK,CA,00:00:00
BREWERY,Front of Yonge,ON,CA,00:00:00
FAMILY_DINING,Barrie,ON,CA,05:00:00
FAMILY_DINING,Kitimat,BC,CA,00:00:00
,Toronto,ON,CA,07:00:00
,Grand Falls-Windsor,NL,CA,00:00:00
BREWERY,Nepean,ON,CA,00:00:00
CAFE,Banff,AB,CA,00:00:00
BAR,Shamrock,TX,US,03:00:00
FAMILY_DINING,South Windsor,CT,US,00:00:00
,MESA,AZ,US,17:00:00
BAR,Tofield,AB,CA,04:00:00
CAFE,Toronto,ON,CA,05:00:00
FAST_FOOD,Vaughan,ON,CA,08:00:00
CAFE,North Vancouver,BC,CA,00:00:00
CAFE,Venice,FL,US,00:00:00
BAR,Collingwood,ON,CA,00:00:00
FAMILY_DINING,Toronto,ON,CA,04:00:00
BAR,Philadelphia,PA,US,12:00:00
BAR,Belleville,ON,CA,00:00:00
FAST_CASUAL,Orangeburg,SC,US,00:00:00
BAR,Yonkers,NY,US,00:00:00
CAFE,Winnipeg,MB,CA,00:00:00
FAMILY_DINING,Worcester,MA,US,02:00:00
,Summerland,BC,CA,00:00:00
,Toronto,ON,CA,00:00:00
FAMILY_DINING,Swansboro,NC,US,04:00:00
,Lunenburg,NS,CA,00:00:00
,Dwight,ON,CA,00:00:00
FAST_CASUAL,Oceanside,CA,US,00:00:00
FAMILY_DINING,Iselin,NJ,US,00:00:00
FAMILY_DINING,Comstock Park,MI,US,00:00:00
BREWERY,Kingston,ON,CA,04:00:00
CAFE,Toronto,ON,CA,05:00:00
FAMILY_DINING,Rehoboth,NM,US,00:00:00
CAFE,Loveland,CO,US,00:00:00
FAST_CASUAL,Fernandina Beach,FL,US,00:00:00
FAST_FOOD,APOPKA,FL,US,00:00:00
,Plevna,ON,CA,00:00:00
FAMILY_DINING,Pembroke,ON,CA,09:00:00
FAMILY_DINING,Sea Isle City,NJ,US,00:00:00
,Vancouver ,BC,CA,00:00:00
,Wellington,ON,CA,06:00:00
,Hickory,NC,US,00:00:00
,Vancouver,BC,CA,00:00:00
,Ajax,ON,CA,00:00:00
,Christiansted,VI,US,00:00:00
FAMILY_DINING,Hamilton,ON,CA,00:00:00
CAFE,Woodstock,ON,CA,11:00:00
,New Westminster,BC,CA,01:00:00
FAMILY_DINING,Ness City,KS,US,00:00:00
,Cape Dorset,NU,CA,00:00:00
,Twin Falls,ID,US,10:00:00
BAR,Ottawa,ON,CA,05:00:00
,Toronto ,ON,CA,00:00:00
FAMILY_DINING,Cedartown,GA,US,00:00:00
BAR,Toronto,ON,CA,04:00:00
FAMILY_DINING,Leavenworth,WA,US,00:00:00
,Toronto,ON,CA,00:00:00
,Toronto,ON,CA,00:00:00
FAMILY_DINING,Milwaukee,WI,US,15:00:00
BAR,Bend,OR,US,04:00:00
FAMILY_DINING,Vernon,BC,CA,10:00:00
BAR,Scarborough,ON,CA,10:00:00
,Ottawa,ON,CA,00:00:00
,Toronto ,ON,CA,00:00:00
FAMILY_DINING,Indianapolis,IN,US,00:00:00
FAMILY_DINING,Wainwright,AB,CA,00:00:00
FAST_CASUAL,Rancho Cucamonga,CA,US,12:00:00
FAMILY_DINING,Kelowna,BC,CA,00:00:00
BREWERY,Surrey,BC,CA,11:00:00
FAMILY_DINING,Washington,DC,US,00:00:00
,Port Perry,ON,CA,00:00:00
FAMILY_DINING,Palm Springs,CA,US,00:00:00
BREWERY,Whitby,ON,CA,00:00:00
FAST_FOOD,Edmonton,AB,CA,00:00:00
FAMILY_DINING,Tofino,BC,CA,00:00:00
CAFE,Cambridge,ON,CA,00:00:00
FAST_CASUAL,Markham,ON,CA,00:00:00
FAMILY_DINING,Vancouver,BC,CA,00:00:00
,Pemberton,BC,CA,00:00:00
FAST_CASUAL,Bridgeport,CT,US,00:00:00
FAMILY_DINING,Hamilton,ON,CA,00:00:00
CAFE,Green Bay,WI,US,00:00:00
FAMILY_DINING,Loveland,CO,US,00:00:00
FOOD_TRUCK,Tampa,FL,US,00:00:00
,Vancouver,BC,CA,00:00:00
,Calgary,AB,CA,03:00:00
FAMILY_DINING,Irving,TX,US,00:00:00
FOOD_TRUCK,La Grange,GA,US,00:00:00
FAMILY_DINING,Brooklin,ME,US,00:00:00
FAST_FOOD,Whitby,ON,CA,00:00:00
CAFE,Toronto,ON,CA,00:00:00
BAKERY,Cambridge,ON,CA,00:00:00
FAMILY_DINING,Toronto,ON,CA,14:00:00
,Niagara Falls,ON,CA,07:00:00
FAST_CASUAL,Brampton,ON,CA,00:00:00
BAKERY,Toronto,ON,CA,00:00:00
FAMILY_DINING,Kitchener,ON,CA,00:00:00
,Toronto,ON,CA,00:00:00
,Gander,NL,CA,09:00:00
,Burlington,ON,CA,00:00:00
FAST_CASUAL,Naples,FL,US,00:00:00
CAFE,Toronto,ON,CA,00:00:00
,St. Andrews By The Sea,NB,CA,11:00:00
BAR,Muskogee,OK,US,08:00:00
CAFE,Ancaster,ON,CA,00:00:00
,Chatham,ON,CA,00:00:00
BREWERY,Alto Pass ,IL,US,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
FAMILY_DINING,Moseley,VA,US,00:00:00
,Hamilton ,ON,CA,00:00:00
FAST_CASUAL,Summerville,SC,US,00:00:00
CAFE,Portland,ME,US,00:00:00
FAST_CASUAL,Oshawa,ON,CA,00:00:00
,Goose Creek,SC,US,11:00:00
CAFE,Edmonton,AB,CA,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
,Baltimore,MD,US,02:00:00
FAMILY_DINING,Bath,NB,CA,00:00:00
FAST_CASUAL,Oshawa,ON,CA,00:00:00
FAST_CASUAL,Windsor,ON,CA,00:00:00
,Aguadilla ,PR,US,04:00:00
,St. John Township,IN,US,08:00:00
FAMILY_DINING,Regina,SK,CA,00:00:00
,Campbell River,BC,CA,00:00:00
FAST_FOOD,Orangeville,ON,CA,00:00:00
BAR,Toronto,ON,CA,00:00:00
FAMILY_DINING,Ajax,ON,CA,00:00:00
FAMILY_DINING,Dartmouth,NS,CA,00:00:00
,Victoria,BC,CA,00:00:00
,Toronto,ON,CA,00:00:00
,Whistler,BC,CA,00:00:00
BAR,Ladysmith,BC,CA,00:00:00
,St.   Peters,NS,CA,00:00:00
CAFE,Langford,BC,CA,00:00:00
FINE_DINING,Fulton,MO,US,04:00:00
FAMILY_DINING,Scotch Creek,BC,CA,00:00:00
BAKERY,Vaughan,ON,CA,00:00:00
FAST_CASUAL,Halifax,NS,CA,00:00:00
BAR,Oxford,MS,US,05:00:00
,Sudbury,ON,CA,00:00:00
FAMILY_DINING,Huntsville,ON,CA,00:00:00
FAMILY_DINING,Miramar,FL,US,08:00:00
,Uxbridge,ON,CA,00:00:00
BAR,Brampton,ON,CA,00:00:00
FAMILY_DINING,Fort Pierce,FL,US,00:00:00
FAST_CASUAL,North York,ON,CA,00:00:00
CAFE,Vermilion,OH,US,00:00:00
,Kennett Square,PA,US,00:00:00
,Moab,UT,US,00:00:00
BREWERY,Calgary,AB,CA,00:00:00
CAFE,Mississauga,ON,CA,00:00:00
BAKERY,Sherwood Park,AB,CA,03:00:00
,Vega Baja,PR,US,00:00:00
FAST_CASUAL,Daytona Beach,FL,US,00:00:00
FAMILY_DINING,Bedford,NS,CA,00:00:00
CAFE,Edmonton,AB,CA,08:00:00
FAST_CASUAL,Chino Hills,CA,US,05:00:00
FAST_CASUAL,Jacksonville,FL,US,00:00:00
FAMILY_DINING,Belleville,ON,CA,00:00:00
FAST_CASUAL,Red Deer,AB,CA,00:00:00
BAR,Bolton Landing,NY,US,05:00:00
FAST_CASUAL,Greensboro,NC,US,00:00:00
FAMILY_DINING,Ottawa,ON,CA,00:00:00
BAR,Salem,OR,US,00:00:00
BAR,Manquin,VA,US,00:00:00
FAST_CASUAL,Vancouver,BC,CA,09:00:00
,Highlands,NC,US,00:00:00
FINE_DINING,Keene,NH,US,00:00:00
FAST_CASUAL,Austin,TX,US,06:00:00
FAMILY_DINING,Richmond,VA,US,00:00:00
BREWERY,Canmore,AB,CA,04:00:00
BAR,Merrill,WI,US,05:00:00
FAST_FOOD,Red Earth Creek,AB,CA,00:00:00
CAFE,Forney,TX,US,00:00:00
BAR,Toronto,ON,CA,06:00:00
FAST_FOOD,Toledo,OH,US,00:00:00
FAMILY_DINING,Sargents,CO,US,00:00:00
FAST_CASUAL,Jacksonville,FL,US,00:00:00
,Edmonton,AB,CA,10:00:00
FAMILY_DINING,Richmond Hill,ON,CA,11:00:00
FAMILY_DINING,Welland,ON,CA,00:00:00
FAMILY_DINING,Edmonton,AB,CA,00:00:00
CAFE,St. Catharines,ON,CA,04:00:00
,Toronto ,ON,CA,08:00:00
,Waterville,ME,US,00:00:00
,Buffalo Grove,IL,US,00:00:00
FAMILY_DINING,London,ON,CA,00:00:00
FAMILY_DINING,Kingston,NY,US,00:00:00
,Toronto,ON,CA,09:00:00
,Calgary,AB,CA,00:00:00
,East Moline,IL,US,00:00:00
BAR,Guelph,ON,CA,15:00:00
,Kimberley,BC,CA,00:00:00
FAMILY_DINING,Mississauga,ON,CA,00:00:00
FAMILY_DINING,Windsor,ON,CA,00:00:00
FAMILY_DINING,York,ON,CA,00:00:00
,Windsor,ON,CA,00:00:00
,Orillia,ON,CA,04:00:00
BAR,Toronto,ON,CA,16:00:00
,Marfa,TX,US,00:00:00
BAR,Hamilton,ON,CA,00:00:00
BAR,Sacramento,CA,US,23:00:00
FAMILY_DINING,City Of Toronto,ON,CA,00:00:00
FAMILY_DINING,San Francisco,CA,US,10:00:00
FAMILY_DINING,Saskatoon,SK,CA,09:00:00
FAMILY_DINING,Rancho Cordova,CA,US,00:00:00
,Rochester,MN,US,00:00:00
FINE_DINING,Denver,CO,US,00:00:00
CAFE,Vancouver,BC,CA,00:00:00
,Hinton,AB,CA,00:00:00
FAMILY_DINING,Grande Cache,AB,CA,11:00:00
,Dallas,TX,US,00:00:00
FAMILY_DINING,San Diego,CA,US,00:00:00
FAMILY_DINING,Hamilton,ON,CA,04:00:00
BAR,Antigo,WI,US,00:00:00
FAMILY_DINING,Vancouver,BC,CA,05:00:00
,Medicine Hat,AB,CA,00:00:00
,Edmonton,AB,CA,06:00:00
FAMILY_DINING,Vancouver,BC,CA,00:00:00
,Carson City,NV,US,06:00:00
FAMILY_DINING,Cranston,RI,US,00:00:00
BAR,Lindenhurst,NY,US,09:00:00
BAR,Kaneohe,HI,US,05:00:00
,Tacoma,WA,US,04:00:00
,Delta ,BC,CA,00:00:00
BAR,Bellingham,WA,US,04:00:00
FAMILY_DINING,Chino,CA,US,00:00:00
HOTEL,Jackpot,NV,US,02:00:00
CAFE,London,ON,CA,00:00:00
BAR,Oshawa,ON,CA,00:00:00
BAR,Cheney,WA,US,03:00:00
,Richmond,BC,CA,00:00:00
,Toronto,ON,CA,04:00:00
BAR,Bend,OR,US,23:00:00
FAMILY_DINING,Santa Ana,CA,US,06:00:00
FAMILY_DINING,Solvang,CA,US,03:00:00
,Scaroborogh,ON,CA,00:00:00
FINE_DINING,Plymouth,MN,US,00:00:00
FAMILY_DINING,Calumet City,IL,US,11:00:00
FAMILY_DINING,Calgary,AB,CA,03:00:00
BAR,Joliet Township,IL,US,03:00:00
FAST_CASUAL,New York,NY,US,07:00:00
FAMILY_DINING,Murray,UT,US,00:00:00
FAMILY_DINING,Brooklyn,NY,US,00:00:00
,Davison,MI,US,12:00:00
FAST_FOOD,London,ON,CA,00:00:00
FAMILY_DINING,Squamish,BC,CA,00:00:00
FAST_CASUAL,Mississauga,ON,CA,01:00:00
BAR,Calgary,AB,CA,12:00:00
BAR,Gibbons,AB,CA,00:00:00
BAR,Toronto,ON,CA,04:00:00
BAR,Statesboro,GA,US,15:00:00
,Petit Rocher,NB,CA,00:00:00
CAFE,Comox,BC,CA,00:00:00
,Bathurst,NB,CA,12:00:00
CAFE,Unity,SK,CA,00:00:00
